Envi,Formula,rho,p,Group
WSOCbb,C10H8O7S,0.644,3.00E-04,Ulaanbaatar
WSOCbb,C10H9NO,-0.022,0.9142,Ulaanbaatar
WSOCbb,C10H9NO2,-0.373,0.0552,Ulaanbaatar
WSOCbb,C10H9NO3,0.631,4.00E-04,Ulaanbaatar
WSOCbb,C10H9NO3S,0.601,9.00E-04,Ulaanbaatar
WSOCbb,C10H9NO4,0.199,0.3188,Ulaanbaatar
WSOCbb,C10H9NO4S,-0.342,0.0806,Ulaanbaatar
WSOCbb,C10H9NO5,0.5,0.0079,Ulaanbaatar
WSOCbb,C10H9NO6,0.5,0.0079,Ulaanbaatar
WSOCbb,C10H9NO6S,0.649,3.00E-04,Ulaanbaatar
WSOCbb,C10H9NO7S,0.649,3.00E-04,Ulaanbaatar
WSOCbb,C10H9NO9S,0.649,3.00E-04,Ulaanbaatar
WSOCbb,C11H10N2O3,0.649,3.00E-04,Ulaanbaatar
WSOCbb,C11H10N2O6,0.649,3.00E-04,Ulaanbaatar
WSOCbb,C11H10N2O7,0.649,3.00E-04,Ulaanbaatar
WSOCbb,C11H10O,-0.283,0.1526,Ulaanbaatar
WSOCbb,C11H10O2,0.777,0,Ulaanbaatar
WSOCbb,C11H10O3,0.007,0.9711,Ulaanbaatar
WSOCbb,C11H10O4,0.655,2.00E-04,Ulaanbaatar
WSOCbb,C11H10O4S,0.154,0.4419,Ulaanbaatar
WSOCbb,C11H10O5,0.757,0,Ulaanbaatar
WSOCbb,C11H10O5S,0.398,0.0396,Ulaanbaatar
WSOCbb,C11H10O6,0.582,0.0014,Ulaanbaatar
WSOCbb,C11H10O6S,-0.361,0.0642,Ulaanbaatar
WSOCbb,C11H10O7S,-0.469,0.0137,Ulaanbaatar
WSOCbb,C11H10O8S,0.498,0.0083,Ulaanbaatar
WSOCbb,C11H11N3O6,-0.349,0.0746,Ulaanbaatar
WSOCbb,C11H11N3O7,-0.349,0.0746,Ulaanbaatar
WSOCbb,C11H11NO,-0.517,0.0058,Ulaanbaatar
WSOCbb,C11H11NO2,-0.49,0.0094,Ulaanbaatar
WSOCbb,C11H11NO4,0.13,0.5176,Ulaanbaatar
WSOCbb,C11H11NO4S,-0.485,0.0103,Ulaanbaatar
WSOCbb,C11H11NO5,0.351,0.0722,Ulaanbaatar
WSOCbb,C11H11NO5S,0.203,0.3099,Ulaanbaatar
WSOCbb,C11H11NO6,0.203,0.3099,Ulaanbaatar
WSOCbb,C11H11NO6S,0.809,0,Ulaanbaatar
WSOCbb,C11H11NO7,0.809,0,Ulaanbaatar
WSOCbb,C11H11NO7S,-0.272,0.1703,Ulaanbaatar
WSOCbb,C11H11NO9S,-0.272,0.1703,Ulaanbaatar
WSOCbb,C11H12N2O11S,-0.272,0.1703,Ulaanbaatar
WSOCbb,C11H12N2O4,-0.272,0.1703,Ulaanbaatar
WSOCbb,C11H12N2O5,-0.272,0.1703,Ulaanbaatar
WSOCbb,C11H12N2O5S,0.665,2.00E-04,Ulaanbaatar
WSOCbb,C11H12N2O6,0.665,2.00E-04,Ulaanbaatar
WSOCbb,C11H12N2O7,0.665,2.00E-04,Ulaanbaatar
WSOCbb,C11H12O2,-0.153,0.4453,Ulaanbaatar
WSOCbb,C11H12O3,0.416,0.0307,Ulaanbaatar
WSOCbb,C11H12O4,-0.051,0.8001,Ulaanbaatar
WSOCbb,C11H12O4S,-0.136,0.4982,Ulaanbaatar
WSOCbb,C11H12O5,0.683,1.00E-04,Ulaanbaatar
WSOCbb,C11H12O5S,-0.29,0.1418,Ulaanbaatar
WSOCbb,C11H12O6,-0.04,0.8422,Ulaanbaatar
WSOCbb,C11H12O6S,-0.611,7.00E-04,Ulaanbaatar
WSOCbb,C11H12O6S2,-0.611,7.00E-04,Ulaanbaatar
WSOCbb,C11H12O7S,-0.143,0.4782,Ulaanbaatar
WSOCbb,C11H12O8S,0.491,0.0093,Ulaanbaatar
WSOCbb,C11H13N3O4,-0.525,0.005,Ulaanbaatar
WSOCbb,C11H13N3O6,-0.525,0.005,Ulaanbaatar
WSOCbb,C11H13NO10S,-0.525,0.005,Ulaanbaatar
WSOCbb,C11H13NO2,-0.525,0.005,Ulaanbaatar
WSOCbb,C11H13NO3,-0.546,0.0032,Ulaanbaatar
WSOCbb,C11H13NO4,0.062,0.7587,Ulaanbaatar
WSOCbb,C11H13NO5,0.062,0.7587,Ulaanbaatar
WSOCbb,C11H13NO5S,0.097,0.6289,Ulaanbaatar
WSOCbb,C11H13NO6,0.363,0.0625,Ulaanbaatar
WSOCbb,C11H13NO6S,0.274,0.1675,Ulaanbaatar
WSOCbb,C11H13NO7,0.274,0.1675,Ulaanbaatar
WSOCbb,C11H13NO7S,0.364,0.0623,Ulaanbaatar
WSOCbb,C11H13NO8,0.364,0.0623,Ulaanbaatar
WSOCbb,C11H13NO8S,0.714,0,Ulaanbaatar
WSOCbb,C11H13NO9,0.714,0,Ulaanbaatar
WSOCbb,C11H14N2O4,0.714,0,Ulaanbaatar
WSOCbb,C11H14N2O5,-0.25,0.2094,Ulaanbaatar
WSOCbb,C11H14N4O8S,-0.25,0.2094,Ulaanbaatar
WSOCbb,C11H14O,-0.721,0,Ulaanbaatar
WSOCbb,C11H14O10S,-0.721,0,Ulaanbaatar
WSOCbb,C11H14O4S,-0.395,0.0412,Ulaanbaatar
WSOCbb,C11H14O5S,0.178,0.3744,Ulaanbaatar
WSOCbb,C11H14O6,0.178,0.3744,Ulaanbaatar
WSOCbb,C11H14O6S,-0.171,0.3947,Ulaanbaatar
WSOCbb,C11H14O7,-0.171,0.3947,Ulaanbaatar
WSOCbb,C11H14O7S,-0.259,0.192,Ulaanbaatar
WSOCbb,C11H14O8S,-0.109,0.5888,Ulaanbaatar
WSOCbb,C11H14O9S,-0.109,0.5888,Ulaanbaatar
WSOCbb,C11H15N3O4,-0.378,0.0519,Ulaanbaatar
WSOCbb,C11H15N3O5,-0.523,0.0052,Ulaanbaatar
WSOCbb,C11H15NO10S,-0.523,0.0052,Ulaanbaatar
WSOCbb,C11H15NO3,-0.676,1.00E-04,Ulaanbaatar
WSOCbb,C11H15NO4,-0.089,0.6578,Ulaanbaatar
WSOCbb,C11H15NO4S,0.116,0.5649,Ulaanbaatar
WSOCbb,C11H15NO5,0.116,0.5649,Ulaanbaatar
WSOCbb,C11H15NO5S,0.111,0.5809,Ulaanbaatar
WSOCbb,C11H15NO6,0.111,0.5809,Ulaanbaatar
WSOCbb,C11H15NO6S,0.554,0.0027,Ulaanbaatar
WSOCbb,C11H15NO7,0.554,0.0027,Ulaanbaatar
WSOCbb,C11H15NO7S,0.829,0,Ulaanbaatar
WSOCbb,C11H15NO8,0.829,0,Ulaanbaatar
WSOCbb,C11H15NO8S,-0.023,0.9099,Ulaanbaatar
WSOCbb,C11H15NO9S,-0.023,0.9099,Ulaanbaatar
WSOCbb,C11H16N4O6,-0.023,0.9099,Ulaanbaatar
WSOCbb,C11H16N4O7,-0.023,0.9099,Ulaanbaatar
WSOCbb,C11H16O2,-0.626,5.00E-04,Ulaanbaatar
WSOCbb,C11H16O4S,-0.438,0.0225,Ulaanbaatar
WSOCbb,C11H16O5,-0.438,0.0225,Ulaanbaatar
WSOCbb,C11H16O5S,-0.438,0.0225,Ulaanbaatar
WSOCbb,C11H16O6S,-0.254,0.2005,Ulaanbaatar
WSOCbb,C11H16O7,-0.254,0.2005,Ulaanbaatar
WSOCbb,C11H16O7S,-0.481,0.0111,Ulaanbaatar
WSOCbb,C11H16O8,-0.481,0.0111,Ulaanbaatar
WSOCbb,C11H16O8S,-0.175,0.3837,Ulaanbaatar
WSOCbb,C11H16O9S,-0.175,0.3837,Ulaanbaatar
WSOCbb,C11H17N3O10S,-0.175,0.3837,Ulaanbaatar
WSOCbb,C11H17N3O3,-0.175,0.3837,Ulaanbaatar
WSOCbb,C11H17NO4,-0.175,0.3837,Ulaanbaatar
WSOCbb,C11H17NO4S,0.083,0.68,Ulaanbaatar
WSOCbb,C11H17NO5,0.083,0.68,Ulaanbaatar
WSOCbb,C11H17NO5S,0.392,0.0431,Ulaanbaatar
